bank,review,rating,date,source,cleaned
CBE,imoo,3,2025-10-02,Google Play,imoo
CBE,"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,Google Play,it was good since it become a robber the vat taxservice chargeunbelievable charge to send to other bank monthly chargeetc i hope one international bank comes and we all leave this bank enough is enough
CBE,screen shoot always not allowed why?,5,2025-10-02,Google Play,screen shoot always not allowed why
CBE,enkorabetalen,5,2025-10-01,Google Play,enkorabetalen
CBE,Gamada mahamadi,1,2025-10-01,Google Play,gamada mahamadi
CBE,it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Google Play,it is very good banking web but its network is sometimes busy i hope they willfix the problem
CBE,verfcasencod,5,2025-09-30,Google Play,verfcasencod
CBE,you can't get your own transaction history,1,2025-09-29,Google Play,you cant get your own transaction history
CBE,sintu,5,2025-09-29,Google Play,sintu
CBE,BEST,5,2025-09-28,Google Play,best
CBE,Bank of Ethiopia,5,2025-09-28,Google Play,bank of ethiopia
CBE,"All most Good, but need improvement",5,2025-09-27,Google Play,all most good but need improvement
CBE,"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,Google Play,great application for meso i would like to rate with solid 5 starthat it works well overall so hello everyone enjoy the apps
CBE,poor app all of you guys delete CBE and download BOA,1,2025-09-27,Google Play,poor app all of you guys delete cbe and download boa
CBE,niceapp,5,2025-09-27,Google Play,niceapp
CBE,the best app of all,5,2025-09-25,Google Play,the best app of all
CBE,❤️,5,2025-09-25,Google Play,
CBE,"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Google Play,most of the time when i try to open the app it does not load the circle keeps spinning as if it is trying to open and get a message saying 2 attempts left for offline login this seems to mean that the app cannot connect to the internet even though i have a stable internet connection and all other stuff work properly
CBE,Juhaar,5,2025-09-24,Google Play,juhaar
CBE,I am using CBE app very fantastic.,5,2025-09-24,Google Play,i am using cbe app very fantastic
CBE,bist app tankyou,4,2025-09-23,Google Play,bist app tankyou
CBE,this is very useful and consistent app,5,2025-09-23,Google Play,this is very useful and consistent app
CBE,"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,Google Play,this application provides timely service in a good fast and reliable manner
CBE,So good,5,2025-09-23,Google Play,so good
CBE,it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,Google Play,it will be more better if the app have the feature receipt verifying from qr code screenshot images from gallery currently it works only from direct camera capturing
CBE,"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,Google Play,from the ux perspective it can be better its old and its not obvious where you can find some things
CBE,It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,Google Play,it is amazing app but it is more better if it is possible to transfer from account to other telebirr
