bank,review,rating,date,source,cleaned,sentiment,theme
CBE,"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Google Play,nice suggestion send cbe birr customer recipient befor actually send money improve,NEGATIVE,Other
CBE,good👍👍👍😊😊😊,5,2025-10-10,Google Play,good,POSITIVE,Other
CBE,really good app,5,2025-10-10,Google Play,good app,POSITIVE,Other
CBE,smart bank CBE,5,2025-10-10,Google Play,smart bank CBE,POSITIVE,Other
CBE,Ali urgesa11,3,2025-10-09,Google Play,Ali,POSITIVE,Other
CBE,it's good,5,2025-10-09,Google Play,good,POSITIVE,Other
CBE,Good apps,5,2025-10-09,Google Play,good app,POSITIVE,Other
CBE,password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,Google Play,password በጣት አሻራ ቢኖረው መልካም ነበር,NEGATIVE,Account Access Issues
CBE,best app i ever seen,5,2025-10-09,Google Play,good app see,POSITIVE,Other
CBE,it's game changing in financial system,4,2025-10-09,Google Play,game change financial system,NEGATIVE,Other
CBE,"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,Google Play,z MKT r,NEGATIVE,Other
CBE,will good updating,5,2025-10-09,Google Play,good update,POSITIVE,Other
CBE,"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,Google Play,service charge vat fee wanna fair,NEGATIVE,Other
CBE,why removing screenshot feature why?,2,2025-10-08,Google Play,remove screenshot feature,NEGATIVE,Feature Requests
CBE,very good application! thank you all who participate!,5,2025-10-08,Google Play,good application thank participate,POSITIVE,Other
CBE,application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Google Play,application bank commercial Ethiopia happy able appear great job pleasant job,POSITIVE,Other
CBE,user compatible app!,5,2025-10-08,Google Play,user compatible app,POSITIVE,Other
CBE,"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,Google Play,try access app Android phone work kindly try improve,NEGATIVE,Account Access Issues
CBE,what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,Google Play,amazing app know simplify life thank cbe proud,POSITIVE,Other
CBE,Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,Google Play,Commercial Bank Ethiopia good,POSITIVE,Other
CBE,Asledin Ibsa,5,2025-10-06,Google Play,Asledin Ibsa,POSITIVE,Other
CBE,terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Google Play,terrible show history transaction show disorganised way,NEGATIVE,Other
CBE,my bank,5,2025-10-05,Google Play,bank,POSITIVE,Other
CBE,Data,5,2025-10-04,Google Play,datum,NEGATIVE,Other
CBE,"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,Google Play,lately face problem app problem log inter pin work say sync work fine day ago say enter pin change pin digit pin allow change solve problem app,NEGATIVE,Other
CBE,excellent app with lots of features,5,2025-10-04,Google Play,excellent app lot feature,POSITIVE,Feature Requests
CBE,very good 👍 mobile banking,5,2025-10-04,Google Play,good mobile banking,POSITIVE,Other
CBE,so special,5,2025-10-04,Google Play,special,POSITIVE,Other
CBE,wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,Google Play,wiiy ewdihiliw esimirt niho yitnehew metgeyot,NEGATIVE,Other
CBE,woow cbe,5,2025-10-03,Google Play,woow cbe,POSITIVE,Other
CBE,cbe the best bank app,4,2025-10-03,Google Play,cbe good bank app,POSITIVE,Other
CBE,This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,Google Play,App CBE bank Simple Smart like,POSITIVE,Other
CBE,Rijalufaris,5,2025-10-02,Google Play,Rijalufaris,POSITIVE,Other
CBE,its Best app But i hate the Repeatedly update request,5,2025-10-02,Google Play,well app hate repeatedly update request,NEGATIVE,Other
CBE,imoo,3,2025-10-02,Google Play,imoo,POSITIVE,Other
